incident_year,incident_month,incident_category,count
2019,6,Weapons Offence,3
2019,6,Weapons Offense,57
2019,7,Arson,23
2019,7,Assault,751
2019,7,Burglary,539
2019,7,Case Closure,60
2019,7,Civil Sidewalks,21
2019,7,Courtesy Report,41
2019,7,Disorderly Conduct,186
2019,7,Drug Offense,331
2019,7,Drug Violation,8
2019,7,Embezzlement,14
2019,7,Fire Report,15
2019,7,Forgery And Counterfeiting,79
2019,7,Fraud,414
2019,7,Larceny Theft,4535
2019,7,Lost Property,438
2019,7,Malicious Mischief,827
2019,7,Miscellaneous Investigation,107
2019,7,Missing Person,296
2019,7,Motor Vehicle Theft,459
2019,7,Motor Vehicle Theft?,4
2019,7,Non-Criminal,745
2019,7,Offences Against The Family And Children,145
2019,7,Other,88
2019,7,Other Miscellaneous,953
2019,7,Other Offenses,94
2019,7,Prostitution,13
2019,7,Rape,5
2019,7,Recovered Vehicle,333
2019,7,Robbery,257
2019,7,Sex Offense,8
2019,7,Stolen Property,62
2019,7,Suicide,5
2019,7,Suspicious,2
2019,7,Suspicious Occ,232
2019,7,Traffic Collision,21
2019,7,Traffic Violation Arrest,165
2019,7,Vandalism,22
2019,7,Vehicle Impounded,8
2019,7,Vehicle Misplaced,3
2019,7,Warrant,464
2019,7,Weapons Carrying Etc,67
2019,7,Weapons Offense,77
2019,8,Arson,31
2019,8,Assault,828
2019,8,Burglary,531
2019,8,Case Closure,53
2019,8,Civil Sidewalks,14
2019,8,Courtesy Report,58
2019,8,Disorderly Conduct,263
2019,8,Drug Offense,280
2019,8,Drug Violation,2
2019,8,Embezzlement,13
2019,8,Fire Report,11
2019,8,Forgery And Counterfeiting,45
2019,8,Fraud,387
2019,8,Homicide,1
2019,8,"Human Trafficking (A), Commercial Sex Acts",1
2019,8,"Human Trafficking, Commercial Sex Acts",1
2019,8,Larceny Theft,4749
2019,8,Liquor Laws,3
2019,8,Lost Property,497
2019,8,Malicious Mischief,802
2019,8,Miscellaneous Investigation,123
2019,8,Missing Person,289
2019,8,Motor Vehicle Theft,433
2019,8,Non-Criminal,853
2019,8,Offences Against The Family And Children,179
2019,8,Other,92
2019,8,Other Miscellaneous,979
2019,8,Other Offenses,112
2019,8,Prostitution,11
2019,8,Rape,1
2019,8,Recovered Vehicle,359
2019,8,Robbery,317
2019,8,Sex Offense,25
2019,8,Stolen Property,65
2019,8,Suicide,13
2019,8,Suspicious,7
2019,8,Suspicious Occ,261
2019,8,Traffic Collision,32
2019,8,Traffic Violation Arrest,152
2019,8,Vandalism,18
2019,8,Vehicle Impounded,14
