incident_year,incident_month,incident_category,count
2023,10,Assault,780
2023,10,Homicide,7
2023,10,Offences Against The Family And Children,138
2023,10,Rape,2
2023,10,Robbery,264
2023,10,Sex Offense,16
2023,10,Weapons Carrying Etc,49
2023,10,Weapons Offense,90
2023,11,Arson,43
2023,11,Assault,656
2023,11,Homicide,5
2023,11,Offences Against The Family And Children,124
2023,11,Rape,1
2023,11,Robbery,223
2023,11,Sex Offense,11
2023,11,Weapons Carrying Etc,46
2023,11,Weapons Offense,77
2023,12,Arson,36
2023,12,Assault,640
2023,12,Homicide,10
2023,12,Offences Against The Family And Children,115
2023,12,Rape,2
2023,12,Robbery,249
2023,12,Sex Offense,6
2023,12,Weapons Carrying Etc,57
2023,12,Weapons Offense,83
